target,group,p_group,base,delta,lo95,hi95,lob,hib,ratio,mean_ret,n_avg,n_anchor
W60: 60일 +50%↑,sp Q5(상위20%),4.472789120725341,3.882400430350884,0.5903886903744581,-0.1085740593559836,1.3467267796191114,-0.6095796456311531,1.8450092234967135,1.1520679540830103,3.971541907171979,348.019801980198,101
W60: 60일 +50%↑,sp Q1(하위20%),5.277412861564955,3.882400430350884,1.3950124312140701,0.5525584290145502,2.3617308103001444,0.2297375501550913,3.1618795050747965,1.3593169886105727,1.4912108712405903,347.5247524752475,101
W60: 60일 +50%↑,opm Q5(상위20%),2.216653012816345,3.882400430350884,-1.6657474175345401,-2.0954170285924865,-1.2340622734791362,-2.3439148264441885,-1.0188100646268852,0.5709490951751229,3.342697827796153,324.5049504950495,101
W60: 60일 +50%↑,opm Q1(하위20%),9.21000737775908,3.882400430350884,5.327606947408199,3.777587581298694,6.787738960471718,2.7884506159684856,7.531819910811997,2.3722456101537928,2.447373194607855,324.44554455445547,101
W60: 60일 +50%↑,asset_g Q5(상위20%),6.224558204966354,3.882400430350884,2.3421577746154703,1.4119752922181747,3.2712276858337566,0.7624722709582533,3.8301268337767,1.603275683854123,4.029917816491076,510.1188118811881,101
W60: 60일 +50%↑,asset_g Q1(하위20%),6.0808989324535165,3.882400430350884,2.198498502102632,1.6051147301023276,2.7382871206130974,1.1986025672053076,3.0110593933768843,1.5662729905230144,1.3394344541099343,508.61386138613864,101
W60: 60일 +50%↑,sue Q5(상위20%),4.2284013374965435,3.882400430350884,0.34600090714565856,-0.15236350539270682,0.9315268488735792,-0.38037235901546956,1.4569278926897546,1.0891203556543982,4.239293313890313,454.51485148514854,101
W60: 60일 +50%↑,sue Q1(하위20%),4.0322605752666965,3.882400430350884,0.14986014491581157,-0.2821694478722391,0.57854632523534,-0.46922290883027823,0.7915543361930308,1.0385998682011965,2.9292077579367475,454.1089108910891,101
W60: 60일 +50%↑,ins_npr Q5(상위20%),3.6407809816344443,3.882400430350884,-0.17750328666412,-0.6671149173573105,0.31438144618843705,-0.9712921420916742,0.6129286309378223,0.9377654487085963,2.777239241811738,292.5742574257426,90
W60: 60일 +50%↑,dtc Q5(상위20%),4.9056205736684495,3.882400430350884,1.023220143317564,0.4597593441562121,1.667593422006371,0.15327149137289253,2.21260024869068,1.2635534797797991,3.994034673208934,646.0792079207921,101
W60: 60일 +50%↑,dtc Q1(하위20%),3.9761504868169304,3.882400430350884,0.09375005646604613,-0.467039991008198,0.5745029263229063,-0.902266952695375,0.8625110699233652,1.0241474464439964,-0.2729680568673807,644.8019801980198,101
W60: 60일 +50%↑,svr20 Q5(상위20%),3.302003122980077,3.882400430350884,-0.5803973073708073,-0.8357095525507056,-0.3116770381838069,-0.9897519552797054,-0.16519429069853553,0.8505055524840976,3.866670811854663,663.6534653465346,101
W60: 60일 +50%↑,svr20 Q1(하위20%),3.4879486977223157,3.882400430350884,-0.3944517326285687,-0.7975992736356329,0.01346119292370098,-1.0242246369269783,0.2823446011802498,0.8984000389179541,2.8341959861879746,661.049504950495,101
W60: 60일 +50%↑,days_since_ea Q5(상위20%),2.930491510318986,3.882400430350884,-0.9519089200318983,-1.3836868194421519,-0.5212143128401759,-1.6052292405253104,-0.28137190346225815,0.7548143379054113,3.761121585199638,519.2574257425742,101
W60: 60일 +50%↑,days_since_ea Q1(하위20%),5.499997990256075,3.882400430350884,1.6175975599051906,0.9543134457984107,2.2389564419834125,0.4968252919196513,2.55674359391638,1.416648820471874,3.0326497514386603,517.6435643564356,101
W60: 60일 +50%↑,ins_clu=1,3.9368097547733023,3.882400430350884,0.11852548647473818,-0.7591763006148994,1.073083433655278,-1.176694380209371,1.6258207357982835,1.0140143515328996,2.6717001912662566,120.95049504950495,90
W60: 60일 +50%↑,ipo1y=1,7.85014550850909,3.882400430350884,3.967745078158206,2.298774154187351,5.614598252813772,1.3226429432124818,6.478090377278337,2.021982443423439,2.5759765590108707,100.04950495049505,101
W60: 60일 +50%↑,ma200_up=1,3.7200804425401697,3.882400430350884,-0.16231998781071483,-0.4686928243807732,0.15683679775628162,-0.6568833320553703,0.3600672003776494,0.9581908175823987,3.926400778176621,2017.8910891089108,101
W60: 60일 +50%↑,sp500_now=1,2.307229779892348,3.882400430350884,-1.575170650458537,-1.972262461678476,-1.1970886455163463,-2.1829447481251787,-0.9904242760187632,0.5942791891983756,4.723514519093091,496.71287128712873,101
W60: 60일 +50%↑,base top50,7.5049504950495045,3.882400430350884,3.62255006469862,1.1472708495423676,6.297775930830884,-0.14520312588773904,8.062190177164165,1.9330696639066727,7.230474066068498,49.98019801980198,101
W60: 60일 +50%↑,base top10,12.574257425742575,3.882400430350884,8.69185699539169,2.791781092369351,14.737593286431155,-0.013775420652983948,18.683751135776976,3.238784265384531,12.228080066553083,10.0,101
W60: 60일 +50%↑,rv63 Q5 ∩ mom12 Q5,12.808173312723802,3.882400430350884,8.925772882372922,5.932789737028615,12.25211220456789,4.38921607288258,14.344346164519246,3.299034590197133,4.769228979910483,227.79207920792078,101
W60: 60일 +50%↑,rev_g Q5 ∩ mom12 Q5,10.241301043176101,3.882400430350884,6.358900612825215,3.95753074245103,8.940296484064952,2.396648389609469,10.447528927121875,2.637878608067873,8.463453986541039,139.93069306930693,101
W60: 60일 +50%↑,rev_g Q5 ∩ prox52 Q5,3.958151784081085,3.882400430350884,0.07575135373020024,-1.043932774788563,1.2345546562563046,-1.6841653727496857,1.8964212341731237,1.0195114736589277,4.172067687379841,69.85148514851485,101
W60: 60일 +50%↑,size_amt Q1 ∩ mom12 Q5,6.931112772915875,3.882400430350884,3.04871234256499,1.9862066386205997,4.209649453731687,1.4172833137928553,4.844545010249428,1.7852647858607038,1.5215658161932781,91.0,101
W120: 120일 +100%↑,mom12 Q5(상위20%),4.018050372654659,2.2898148850640627,1.7282354875905963,0.9850917895965658,2.392762952595657,0.610796458157263,2.5711905906109966,1.7547489969007888,9.121674118131486,629.4157303370787,89
W120: 120일 +100%↑,mom12 Q1(하위20%),3.457740507823099,2.2898148850640627,1.1679256227590358,0.7724423372867123,1.6884142633986228,0.693268151088837,2.0483710807465716,1.510052419685603,0.11542724231777637,628.7303370786517,89
W120: 120일 +100%↑,mom1 Q5(상위20%),3.856576634276929,2.2898148850640627,1.5667617492128663,0.708095800518698,2.5405657594154043,0.5055309558626696,3.0713076814567795,1.6842307469623392,6.62778768641653,670.8539325842696,89
W120: 120일 +100%↑,mom1 Q1(하위20%),3.494943596414431,2.2898148850640627,1.2051287113503677,0.5459182561045712,1.9461306616809197,0.24977631370508882,2.349221036122853,1.5262996232626254,2.3222127507823247,671.2359550561798,89
W120: 120일 +100%↑,upratio63 Q5(상위20%),1.9482685380313856,2.2898148850640627,-0.3415463470326769,-1.0645475979053634,0.5359407709148294,-1.360744245419175,1.0595232423140446,0.8508410661226348,8.539593254201518,667.8089887640449,89
